Vessel Type,CAPEX (Million USD),Source,OPEX (USD/day),Source
Bulk (Capesize) [1],61,"https://www.hellenicshippingnews.com/dry-bulk-market-freight-rates-and-ships-prices-on-the-rise/#:~:text=Five%2Dyear%2Dold%20Capesize%20vessels,19%20lockdown%20in%20June%202020.",7202,Moore Maritime 2022: https://www.moore-greece.gr/MediaLibsAndFiles/media/greeceweb.moorestephens.com2020/Documents/Insights/mmi/Moore-Maritime-Index-Brochure-2022.pdf
Bulk (Capesize) [2],64,"https://www.hellenicshippingnews.com/dry-bulk-market-freight-rates-and-ships-prices-on-the-rise/#:~:text=Five%2Dyear%2Dold%20Capesize%20vessels,19%20lockdown%20in%20June%202020.",7202,
Bulk (Capesize) [3],66.09,http://sisi.gstta.org/index.php?c=article&id=23785,7202,
Bulk (Capesize) [4],69.63,http://sisi.gstta.org/index.php?c=article&id=23785,7202,
Bulk (Capesize),65.18,,7202,
Bulk (Handy) [1],15.5,"https://www.hellenicshippingnews.com/prices-for-dry-bulk-carriers-remain-high-amid-increased-demand/#:~:text=Taking%20for%20example%20the%20prices,a%20Handysize%20USD%2015.5%20million.",6236,Moore Maritime 2022: https://www.moore-greece.gr/MediaLibsAndFiles/media/greeceweb.moorestephens.com2020/Documents/Insights/mmi/Moore-Maritime-Index-Brochure-2022.pdf
Bulk (Handy) [2],15.4,https://www.ship-technology.com/news/taylor-maritime-handysize-bulk-vessels/?cf-view,6236,
Bulk (Handy),15.45,,6236,
Bulk (Panamax),18.5,https://www.drybulkmagazine.com/shipping/03062024/castor-maritime-sells-panamax/,5994,Moore Maritime 2022: https://www.moore-greece.gr/MediaLibsAndFiles/media/greeceweb.moorestephens.com2020/Documents/Insights/mmi/Moore-Maritime-Index-Brochure-2022.pdf
"Container (15,000 TEU)",150,"https://theloadstar.com/four-new-14000-teu-box-ships-for-dohle-add-to-bulging-global-orderbook/#:~:text=The%20new%2014%2C000%20teu%20vessels,will%20be%20equipped%20with%20scrubbers.",17100,US Merchant Marine Academy: https://www.usmma.edu/sites/usmma.dot.gov/files/docs/CMA%20Paper%20Murray%201%20%282%29.pdf
"Container (8,000 TEU)",85,https://splash247.com/rcl-orders-7000-teu-pair-in-china-for-170m/#:~:text=RCL%20orders%207%2C000%20teu%20pair%20in%20China%20for%20%24170m%20%2D%20Splash247,7192,Moore Maritime 2022: https://www.moore-greece.gr/MediaLibsAndFiles/media/greeceweb.moorestephens.com2020/Documents/Insights/mmi/Moore-Maritime-Index-Brochure-2022.pdf
"Container (3,500 TEU)",24,https://www.bairdmaritime.com/shipping/boxships/mpc-container-ships-acquires-two-3500teu-vessels-secures-new-charter,7173,Moore Maritime 2022: https://www.moore-greece.gr/MediaLibsAndFiles/media/greeceweb.moorestephens.com2020/Documents/Insights/mmi/Moore-Maritime-Index-Brochure-2022.pdf
Tanker (100k DWT) [1],63,"https://www.lloydslist.com/LL1136907/VLCC-orders-push-newbuilding-crude-tanker-activity-477-higher#:~:text=Source%3A%20Brian%20Gauvin%20%2F%20Alamy%20Stock,m%20and%20%2450.5m%2C%20respectively.",7196,Moore Maritime 2022: https://www.moore-greece.gr/MediaLibsAndFiles/media/greeceweb.moorestephens.com2020/Documents/Insights/mmi/Moore-Maritime-Index-Brochure-2022.pdf
Tanker (100k DWT) [2],80,https://compassmar.com/wp-content/uploads/2024/10/Compass-Weekly-Report-Oct-28-24.pdf,7196,
Tanker (100k DWT),71.5,,7196,
Tanker (300k DWT),130,https://compassmar.com/wp-content/uploads/2024/10/Compass-Weekly-Report-Oct-28-24.pdf,9204,Moore Maritime 2022: https://www.moore-greece.gr/MediaLibsAndFiles/media/greeceweb.moorestephens.com2020/Documents/Insights/mmi/Moore-Maritime-Index-Brochure-2022.pdf
Tanker (35k DWT),30,https://compassmar.com/wp-content/uploads/2024/10/Compass-Weekly-Report-Oct-28-24.pdf,6931,Moore Maritime 2022: https://www.moore-greece.gr/MediaLibsAndFiles/media/greeceweb.moorestephens.com2020/Documents/Insights/mmi/Moore-Maritime-Index-Brochure-2022.pdf
Gas Carrier (100k m$^3$),125,"https://www.dnv.com/expert-story/maritime-impact/investing-in-future-ammonia-markets/ (93k cbm LPG, 2024)",14799,http://www.dynagaspartners.com/upload_earnings/dlng031722.pdf