Vessel type,Vessel class,Nominal Capacity Units,Assumed density (tonnes/m^3),Max density (tonnes/m^3),Min density (tonnes/m^3),Max capacity (m^3),Source
bulk_carrier,bulk_carrier_capesize,Deadweight tonnes,1.8,,,200000,"Middle of density range (0.6-3 tons / m^3) from wikipedia page (https://en.wikipedia.org/wiki/Bulk_carrier), which cited Lamb, Thomas (2003). Ship Design and Construction Vol. I. Jersey City: Society of Naval Architects and Marine Engineers. ISBN 0-939773-40-6. Can’t find specific number, so approximate 1 m^3 / DWT based on ratio of max volume to DWT for the other two bulk carriers."
bulk_carrier,bulk_carrier_handy,Deadweight tonnes,1.8,,,30000,"Middle of density range (0.6-3 tons / m^3) from wikipedia page (https://en.wikipedia.org/wiki/Bulk_carrier), which cited Lamb, Thomas (2003). Ship Design and Construction Vol. I. Jersey City: Society of Naval Architects and Marine Engineers. ISBN 0-939773-40-6. Capacity is based on range of 25-45k here: https://www.marbrokers.com/ship-types/handysize"
bulk_carrier,bulk_carrier_panamax,Deadweight tonnes,1.8,,,92500,"Middle of density range (0.6-3 tons / m^3) from wikipedia page (https://en.wikipedia.org/wiki/Bulk_carrier), which cited Lamb, Thomas (2003). Ship Design and Construction Vol. I. Jersey City: Society of Naval Architects and Marine Engineers. ISBN 0-939773-40-6. Max capacity is based on range of 85-100k here: https://www.marbrokers.com/ship-types/panamax"
container,container_15000_teu,Twenty-foot Equivalent Units (TEU),0.36572,0.73615,,,Based on average weight of 14 tonnes / TEU from https://www.mpc-container.com/about-us/industry-terms/. Max density based on max weight of 28.180 tonnes per TEU.
container,container_8000_teu,Twenty-foot Equivalent Units (TEU),0.36572,0.73615,,,Based on average weight of 14 tonnes / TEU from https://www.mpc-container.com/about-us/industry-terms/. Max density based on max weight of 28.180 tonnes per TEU.
container,container_3500_teu,Twenty-foot Equivalent Units (TEU),0.36572,0.73615,,,Based on average weight of 14 tonnes / TEU from https://www.mpc-container.com/about-us/industry-terms/. Max density based on max weight of 28.180 tonnes per TEU.
tanker,tanker_100k_dwt,Deadweight tonnes,0.8875,,0.850,,Middle of the crude oil density range (850-925 kg/m^3) from https://www.aer.ca/providing-information/data-and-reports/statistical-reports/st98/crude-oil/methodology
tanker,tanker_300k_dwt,Deadweight tonnes,0.8875,,0.850,,Middle of the crude oil density range (850-925 kg/m^3) from https://www.aer.ca/providing-information/data-and-reports/statistical-reports/st98/crude-oil/methodology
tanker,tanker_35k_dwt,Deadweight tonnes,0.8875,,0.850,,Middle of the crude oil density range (850-925 kg/m^3) from https://www.aer.ca/providing-information/data-and-reports/statistical-reports/st98/crude-oil/methodology
gas_carrier,gas_carrier_100k_cbm,m^3,0.428,0.428,,,GREET1_2024